Artist,Title,Price,Low Estimate,High Estimate,Signature,Signed?,Height,Width,Depth,Edition,Year Created,Medium,Auction Lot,Auction Date,Auction Year,Auction House,
Chittrovanu Mazumdar,Untitled,18400,15000,20000,Signed Lower Right,1,181.6,119.4,,,N/A,Acrylic / Canvas,1,3/12/2008,2008,Saffron Art,
Atul Dodiya,Men from Athens,-not sold-,50000,60000,Signed and Dated,1,167.6,130.8,,,2005,Mixed Media / Paper,2,3/12/2008,2008,Saffron Art,
Rekha Rodwittiya,Within the Circle (the Flower Seller),3623,1800,2400,Signed and Dated,1,44.5,44.5,,,1997,Oil and acrylic / Canvas,3,3/12/2008,2008,Saffron Art,
Sudarshan Shetty,Untitled,-not sold-,5000,7000,Signed and Dated,1,53.3,73.7,,,1999,Watercolor / Paper,4,3/12/2008,2008,Saffron Art,
Subodh (Suman) Gupta,Untitled,158700,180000,240000,Signed and Dated,1,166.4,227.3,,,N/A,Oil / Canvas,5,3/12/2008,2008,Saffron Art,
Shibu Natesan,Approach,-not sold-,30000,40000,Signed and Dated,1,95.2,99.1,,,2005,Oil / Linen,9,3/12/2008,2008,Saffron Art,
TV Santhosh,Untitled,6040,3000,4000,Signed and Dated,1,73.7,54.6,,,2006,Watercolor / Paper on board,13,3/12/2008,2008,Saffron Art,
G R Iranna,A Map for a King,-not sold-,30000,36000,Signed and Dated,1,163.8,370.8,,,2006,Acrylic on tarpaulin,14,3/12/2008,2008,Saffron Art,
George Martin PJ,Alphabet from Halitosis (in 4 parts),2530,2500,3500,Signed and Dated,1,24,96,2,,2005,"Silicon, wood, LED lights, fiberglass and PVC",15,3/12/2008,2008,Saffron Art,
Gigi Scaria,Untitled,8860,12000,16000,Signed and Dated,1,189.2,146.1,,,2008,Acrylic / Paper,16,3/12/2008,2008,Saffron Art,
Phaneendra Nath Chaturvedi,The Arrows,2185,2500,3500,Signed and Dated,1,101.6,152.4,,,2008,"Pencil , crayons and acrylic / Paper",20,3/12/2008,2008,Saffron Art,
Maqbool Fida Husain,Untitled,13510,10000,12000,Signed Lower Right,1,25.4,30.5,,,N/A,Pastel / Paper,21,3/12/2008,2008,Saffron Art,
Maqbool Fida Husain,Untitled,-not sold-,120000,150000,Signed,1,59.7,120.7,,,N/A,Oil / Board,22,3/12/2008,2008,Saffron Art,
Maqbool Fida Husain,Untitled,4888,4000,5000,Signed,1,35.6,26.7,,,N/A,Ink / Paper,23,3/12/2008,2008,Saffron Art,
Syed Haider Raza,Suryodya,-not sold-,150000,180000,Signed and Dated,1,114.3,144.8,,,2007,Acrylic / Canvas,24,3/12/2008,2008,Saffron Art,
Krishen Khanna,Fruit Seller,9720,12000,14000,Signed Lower Left,1,54.6,54.6,,,N/A,Oil / Canvas,25,3/12/2008,2008,Saffron Art,
Francis Newton Souza,Untitled,8630,10000,12000,Signed and Dated,1,26.7,20.3,,,1969,Chemical Alterations on magazine paper,26,3/12/2008,2008,Saffron Art,
Francis Newton Souza,Head of an Old Man,-not sold-,120000,150000,Signed and Dated,1,74.9,59.7,,,1964,Oil and ink / Board,27,3/12/2008,2008,Saffron Art,
Vasudeo S Gaitonde,Two Faces,129380,80000,100000,Signed and Dated,1,66,50.8,,,1957,Oil / Canvas,28,3/12/2008,2008,Saffron Art,
Ram Kumar,Untitled,-not sold-,110000,130000,Signed and Dated,1,101.6,152.4,,,1997,Oil / Canvas,29,3/12/2008,2008,Saffron Art,
K G Subramanyan,The Visitor,40250,50000,60000,Signed Initials,1,137.2,137.2,,,1994,Acrylic / Canvas,30,3/12/2008,2008,Saffron Art,
Akbar Padamsee,Untitled,132250,150000,180000,Signed and Dated,1,153.7,115.6,,,1994,Oil / Canvas,31,3/12/2008,2008,Saffron Art,
Badri Narayan,Flowers for a Pilgrim,-not sold-,12000,14000,Signed Initials,1,53.3,72.4,,,2006,Watercolor / Paper,32,3/12/2008,2008,Saffron Art,
Jagdish Swaminathan,Untitled,25880,35000,45000,Unavailable,0,41.9,57.1,,,N/A,Oil / Canvas,33,3/12/2008,2008,Saffron Art,
B Prabha,Untitled,28180,22000,27000,Signed and Dated,1,105.4,64.8,,,1971,Oil / Canvas,34,3/12/2008,2008,Saffron Art,
Himmat Shah,Untitled,-not sold-,24000,30000,Signed and Dated,1,87.6,14,36.8,,2006,Bronze,35,3/12/2008,2008,Saffron Art,
Ganesh Pyne,Godhuli,-not sold-,60000,70000,Signed and Dated,1,53.3,55.9,,,2001,Tempera / Canvas,36,3/12/2008,2008,Saffron Art,
Jogen Chowdhury,Woman Looking to the Mirror,8680,8000,10000,Signed and Dated,1,49.5,74.9,,,2005,Pastel / Paper,37,3/12/2008,2008,Saffron Art,
Jogen Chowdhury,Head,-not sold-,15000,18000,Signed and Dated,1,27.9,35.6,,,2002,Pen and ink and pastel / Paper,38,3/12/2008,2008,Saffron Art,
Arpita Singh,The Evening Star Bali Memories,17250,20000,24000,Signed and Dated,1,76.2,55.9,,,2007,Watercolor / Paper on board,39,3/12/2008,2008,Saffron Art,
K M Adimoolam,Untitled,8680,8000,10000,Signed and Dated,1,94,94,,,2007,Oil / Canvas,40,3/12/2008,2008,Saffron Art,
Manu Parekh,Untitled,2128,2000,3000,Signed and Dated,1,96.5,71.1,,,1997,Mixed Media / Paper on board,41,3/12/2008,2008,Saffron Art,
K Laxma Goud,Untitled (2),-not sold-,8000,10000,Signed,1,28,31.8,,,N/A,Watercolor and ink / Paper,42,3/12/2008,2008,Saffron Art,
Anjolie Ela Menon,Untitled,5220,3000,4000,Signed,1,29.2,21.6,,,N/A,Oil / Masonite,43,3/12/2008,2008,Saffron Art,
Thotha Vaikuntam,Women with Mother and Child,49450,30000,36000,Signed and Dated,1,121.9,182.9,,,2006,Acrylic / Canvas,45,3/12/2008,2008,Saffron Art,
Manisha Parekh,Edge - 2,1840,2500,3500,Signed and Dated,1,50.8,50.8,,,2006,Paper / Board,46,3/12/2008,2008,Saffron Art,
Anju Dodiya,Algae Shiva (Shiva by the Sea),-not sold-,30000,36000,Signed and Dated,1,74.9,54.6,,,2003,Watercolor and charcoal / Paper,47,3/12/2008,2008,Saffron Art,
Kishore Shinde,Untitled,4658,4000,5000,Signed and Dated,1,121.9,121.9,,,2008,Oil / Canvas,48,3/12/2008,2008,Saffron Art,
Tushar Joag,Untitled,4658,6000,8000,Signed and Dated,1,120.7,180.3,,,2007,Charcoal / Paper,49,3/12/2008,2008,Saffron Art,
Bari Kumar,Untitled,2243,3000,4000,Signed and Dated,1,49.5,43.2,,,1994,Oil / Canvas on board,50,3/12/2008,2008,Saffron Art,
Arunanshu Chowdhury,Silent Witneses II,4600,5000,7000,Signed on Reverse,1,152.4,121.9,,,N/A,Acrylic and collage / Canvas,51,3/12/2008,2008,Saffron Art,
Rajan Krishnan,Dead Poet / Theatre of Lost Characters,-not sold-,5000,6000,Signed and Dated,1,91.4,152.4,,,2008,Acrylic / Canvas,52,3/12/2008,2008,Saffron Art,
Samit Das,Untitled,-not sold-,2000,3000,Signed and Dated,1,119.4,241.3,,,2005,Mixed Media / Canvas,53,3/12/2008,2008,Saffron Art,
N S Harsha,Nations,201250,250000,300000,Signed and Dated,1,166.4,866.1,,,2007,Acrylic / Canvas,54,3/12/2008,2008,Saffron Art,
Sudhansu B Sutar,Untitled,7480,10000,12000,Signed and Dated,1,166.4,226.1,,,2008,Oil / Canvas,55,3/12/2008,2008,Saffron Art,
George Martin PJ,Sediments from Broken Crucible - IV,-not sold-,4000,6000,Signed and Dated,1,149.9,104.1,,,2008,Watercolor / Paper,56,3/12/2008,2008,Saffron Art,
Mithu Sen,Untitled,-not sold-,6000,8000,Signed and Dated,1,54.6,36.8,,,2006,Mixed Media / Paper on board,57,3/12/2008,2008,Saffron Art,
Justin Ponmany,Jealousy,-not sold-,20000,25000,Signed and Dated,1,137.2,162.6,,,2003,Mixed Media / Canvas,58,3/12/2008,2008,Saffron Art,
Jitish Kallat,Super Boy Proceed Slowly,40830,40000,50000,Inscribed,1,171.4,232.4,,,1998,Mixed Media / Canvas,59,3/12/2008,2008,Saffron Art,
Viraj Naik,Laze,-not sold-,1500,1700,Signed and Dated,1,34.3,49.5,,,2007,Mixed Media / Paper,60,3/12/2008,2008,Saffron Art,
Dhananjay Singh,Untitled,1006,600,700,Signed and Dated,1,36.8,22.9,,,2008,Watercolor / Board,61,3/12/2008,2008,Saffron Art,
Rajesh Ram,Untitled,-not sold-,2000,3000,Signed and Dated,1,135.9,195.6,,,2005,Oil / Canvas,62,3/12/2008,2008,Saffron Art,
Prajakta Palav Aher,Untitled,1064,700,900,Unavailable,0,36.8,25.4,,,N/A,Mixed Media / Paper on board,63,3/12/2008,2008,Saffron Art,
Ashutosh Bhardwaj,Study of Time,2243,3000,4000,Signed and Dated,1,105.4,105.4,,,2008,Oil and acrylic / Canvas,64,3/12/2008,2008,Saffron Art,
Phaneendra Nath Chaturvedi,Dekho Magar Pyar Se...,-not sold-,1400,1600,Signed and Dated,1,101.6,66,,,2008,"Pencil , crayons and acrylic / Paper",65,3/12/2008,2008,Saffron Art,
Maqbool Fida Husain,Equus Four,19900,18000,22000,Signed and Dated,1,36.8,55.9,,,1981,Watercolor and ink / Paper,66,3/12/2008,2008,Saffron Art,
Maqbool Fida Husain,Untitled,117880,80000,100000,Signed,1,148.6,120.7,,,N/A,Acrylic / Canvas,67,3/12/2008,2008,Saffron Art,
Syed Haider Raza,Minuit d'été,-not sold-,30000,40000,Signed and Dated,1,17.8,119.4,,,1964,Oil / Board,68,3/12/2008,2008,Saffron Art,
