Artist,Title,Price,Low Estimate,High Estimate,Signature,Dummy Signature,Height,Width,Depth,Edition,Year Created,Medium,Medium_new,Medium_Method_Category,Auction Lot,Auction Date,Auction Year,Auction House
Chittrovanu Mazumdar,Untitled,18400,15000,20000,Signed Lower Right,1,181.6,119.4,,,N/A,Acrylic / Canvas,Painting,Acrylic,1,3/12/2008,2008,Saffron Art
Atul Dodiya,Men from Athens,-not sold-,50000,60000,Signed and Dated,1,167.6,130.8,,,2005,Mixed Media / Paper,Mixed Media,Mixed Media,2,3/12/2008,2008,Saffron Art
Rekha Rodwittiya,Within the Circle (the Flower Seller),3623,1800,2400,Signed and Dated,1,44.5,44.5,,,1997,Oil and acrylic / Canvas,Painting,Oil,3,3/12/2008,2008,Saffron Art
Sudarshan Shetty,Untitled,-not sold-,5000,7000,Signed and Dated,1,53.3,73.7,,,1999,Watercolor / Paper,Works on Paper,Watercolor,4,3/12/2008,2008,Saffron Art
Subodh (Suman) Gupta,Untitled,158700,180000,240000,Signed and Dated,1,166.4,227.3,,,N/A,Oil / Canvas,Painting,Oil,5,3/12/2008,2008,Saffron Art
Shibu Natesan,Approach,-not sold-,30000,40000,Signed and Dated,1,95.2,99.1,,,2005,Oil / Linen,Painting,Oil,9,3/12/2008,2008,Saffron Art
TV Santhosh,Untitled,6040,3000,4000,Signed and Dated,1,73.7,54.6,,,2006,Watercolor / Paper on board,Works on Paper,Watercolor,13,3/12/2008,2008,Saffron Art
G R Iranna,A Map for a King,-not sold-,30000,36000,Signed and Dated,1,163.8,370.8,,,2006,Acrylic on tarpaulin,Painting,Acrylic,14,3/12/2008,2008,Saffron Art
George Martin PJ,Alphabet from Halitosis (in 4 parts),2530,2500,3500,Signed and Dated,1,24,96,2,,2005,"Silicon, wood, LED lights, fiberglass and PVC",Sculpture,Silicon,15,3/12/2008,2008,Saffron Art
Gigi Scaria,Untitled,8860,12000,16000,Signed and Dated,1,189.2,146.1,,,2008,Acrylic / Paper,Works on Paper,Acrylic,16,3/12/2008,2008,Saffron Art
Phaneendra Nath Chaturvedi,The Arrows,2185,2500,3500,Signed and Dated,1,101.6,152.4,,,2008,"Pencil , crayons and acrylic / Paper",Works on Paper,Pencil,20,3/12/2008,2008,Saffron Art
Maqbool Fida Husain,Untitled,13510,10000,12000,Signed Lower Right,1,25.4,30.5,,,N/A,Pastel / Paper,Works on Paper,Pastel,21,3/12/2008,2008,Saffron Art
Maqbool Fida Husain,Untitled,-not sold-,120000,150000,Signed,1,59.7,120.7,,,N/A,Oil / Board,Painting,Oil,22,3/12/2008,2008,Saffron Art
Maqbool Fida Husain,Untitled,4888,4000,5000,Signed,1,35.6,26.7,,,N/A,Ink / Paper,Works on Paper,Ink,23,3/12/2008,2008,Saffron Art
Syed Haider Raza,Suryodya,-not sold-,150000,180000,Signed and Dated,1,114.3,144.8,,,2007,Acrylic / Canvas,Painting,Acrylic,24,3/12/2008,2008,Saffron Art
Krishen Khanna,Fruit Seller,9720,12000,14000,Signed Lower Left,1,54.6,54.6,,,N/A,Oil / Canvas,Painting,Oil,25,3/12/2008,2008,Saffron Art
Francis Newton Souza,Untitled,8630,10000,12000,Signed and Dated,1,26.7,20.3,,,1969,Chemical Alterations on magazine paper,Mixed Media,Chemical Alterations,26,3/12/2008,2008,Saffron Art
